"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96749","Verify with creating a SR MOdule with mandatory data and publiching it through Search Criteria","chromium","2026-07-13","passed","2026-07-13","","CM\SRModule.spec.ts","",""
"","17524","Verify with creating a SR MOdule with mandatory data and publiching it through Search Criteria","chromium","2026-07-13","passed","2026-07-13","","CM\SRModuleSearch.spec.ts","",""
